,name,property_type,room_type,bed_type,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,host_id,host_name,host_neighbourhood,country,review_scores_rating
1644,"Double sized room with king bed, perfect location",Townhouse,Private room,Real Bed,1.0,1.0,3,1.5,63.0,94.07480119284294,20373808,Matt,Alexandria,Australia,100.0
1645,Sunny Modern Bedroom 30 seconds from Subway!,Apartment,Private room,Real Bed,1.0,1.0,13,1.0,100.0,50.0,779551,Lana,Bedford Park,United States,97.0
1646,Waikiki Studio with Kitchenette 5 min to beach,Apartment,Entire home/apt,Real Bed,0.0,1.0,110,1.0,80.0,80.0,131866134,Jian,Waikiki,United States,97.0
1647,H MERIDIANA 1,Apartment,Private room,Real Bed,1.0,1.0,0,1.0,19.0,20.0,34964499,Catherine,El Clot,Spain,93.09924038225925
1648,Club Cliff for a great beach vacation.,Townhouse,Entire home/apt,Real Bed,3.0,3.0,2,2.5,600.0,200.0,3491167,Maryanne,Manly,Australia,100.0
1649,Huge private bedroom in the heart of Manhattan,Apartment,Private room,Real Bed,1.0,1.0,41,1.0,72.0,20.0,5295202,Uly,Beverly Hills,United States,100.0
1650,Kutu gibi Ev,Apartment,Private room,Real Bed,0.0,1.0,3,1.0,47.0,30.0,132158539,Evrim,Üsküdar,Turkey,100.0
1651,"GIANT! Perfect for families, in the center of NYC",Apartment,Entire home/apt,Real Bed,2.0,4.0,33,2.0,399.0,200.0,9854533,Izzy,Sant Andreu de Palomar,United States,99.0
1652,Chambre double- à deux pas du métro,Apartment,Private room,Real Bed,1.0,1.0,3,2.0,23.0,94.07480119284294,132500182,Ève,Villeray,Canada,93.0
1653,Cebu Hotel Deluxe Single Room #3 Ensuite Bathroom,Guesthouse,Private room,Real Bed,0.0,1.0,34,1.0,196.0,39.0,32819217,Cebu,Tsim Sha Tsui,Hong Kong,85.0
